visitID,site,rankGlobal,party
165,foxnews.com,244,right
59,breitbart.com,285,right
34,drudgereport.com,720,right
350,dailycaller.com,804,right
76,msnbc.com,2515,left
24,dailywire.com,3177,right
238,infowars.com,3716,right
46,salon.com,4801,left
148,dailykos.com,4896,left
16,wnd.com,5082,right
109,rawstory.com,5141,left
5,realclearpolitics.com,5416,right
13,washingtonexaminer.com,5524,right
12,thegatewaypundit.com,6905,right
62,washingtontimes.com,7058,right
19,talkingpointsmemo.com,7268,left
104,bizpacreview.com,7751,right
80,theblaze.com,8060,right
23,nationalreview.com,8128,right
103,newsmax.com,9384,right
81,townhall.com,9882,right
115,motherjones.com,10657,left
319,thinkprogress.org,10875,left
7,pjmedia.com,11565,right
31,politicususa.com,11914,left
99,upworthy.com,13657,left
27,americanthinker.com,13998,right
90,alternet.org,15399,left
348,commondreams.org,16158,left
206,thefederalist.com,16240,right
221,palmerreport.com,16869,left
67,hotair.com,16942,right
26,towleroad.com,16952,left
130,beforeitsnews.com,17248,right
71,twitchy.com,19820,right
47,thenation.com,20090,left
278,crooksandliars.com,21404,left
395,jacobinmag.com,22149,left
290,theconservativetreehouse.com,24598,right
342,democraticunderground.com,26123,left
66,redstate.com,26282,right
96,freebeacon.com,26923,right
98,newsbusters.org,30725,right
205,rushlimbaugh.com,31978,right
152,theamericanconservative.com,33378,right
52,powerlineblog.com,35636,right
162,waynedupree.com,35923,right
75,cnsnews.com,36034,right
172,secondnexus.com,36235,left
55,thefrisky.com,38565,left
200,politicalwire.com,40875,left
190,dailysignal.com,42142,right
270,louderwithcrowder.com,42193,right
198,wonkette.com,42615,left
344,counterpunch.org,43252,left
36,vidmax.com,44084,right
136,therightscoop.com,44316,right
226,truthdig.com,44350,left
174,oann.com,44610,right
69,bigleaguepolitics.com,46287,right
277,theamericanmirror.com,46609,right
392,mediamatters.org,46749,left
202,weaselzippers.us,49037,right
48,truepundit.com,49867,right
158,joemygod.com,52144,left
179,nowtheendbegins.com,52297,right
334,gatestoneinstitute.org,53545,right
203,teaparty.org,57303,right
8,hannity.com,58160,right
144,amgreatness.com,58271,right
170,frontpagemag.com,58926,right
427,informationclearinghouse.info,61663,left
88,thefederalistpapers.org,62074,right
85,thepoliticalinsider.com,62606,right
134,activistpost.com,62831,left
1,spectator.org,65811,right
267,rare.us,66521,right
212,mintpressnews.com,66786,left
141,investmentwatchblog.com,68100,right
17,lifezette.com,68217,right
32,legalinsurrection.com,69909,right
118,unionleader.com,70037,right
70,antiwar.com,71236,left
58,trumptrainnews.com,71484,right
418,ijr.com,72772,right
289,everydayfeminism.com,73793,left
323,prisonplanet.com,75489,right
4,blacklistednews.com,76630,left
266,rightwingwatch.org,80069,left
20,thelibertydaily.com,82627,right
469,moonofalabama.org,82805,left
218,conservativereview.com,83214,right
56,thecollegefix.com,86225,right
282,thenewamerican.com,86586,right
335,washingtonmonthly.com,89019,left
231,citizenfreepress.com,90611,right
110,shareblue.com,91805,left
122,americanactionnews.com,91806,right
233,yesmagazine.org,92323,left
365,redstatewatcher.com,92802,right
396,informationliberation.com,93644,right
481,consortiumnews.com,95323,left
18,deadstate.org,95845,left
63,amren.com,97581,right
175,therebel.media,99009,right
21,freedomoutpost.com,99341,right
68,bearingarms.com,100703,right
191,dcclothesline.com,104156,right
133,prospect.org,104527,left
310,nowthisnews.com,106045,left
287,newstarget.com,111569,right
283,therealnews.com,113020,left
207,rewire.news,114831,left
281,aclj.org,116342,right
39,iotwreport.com,120474,right
101,anncoulter.com,128322,right
369,commentarymagazine.com,129320,right
83,mrctv.org,133207,right
114,libertyunyielding.com,133278,right
301,inthesetimes.com,137055,left
160,greatamericandaily.com,146512,right
325,govtslaves.info,147355,right
15,godfatherpolitics.com,150016,right
38,lidblog.com,151747,left
173,trueactivist.com,157698,left
137,crtv.com,159803,right
346,conservativedailypost.com,161681,right
119,drudge.com,162165,right
304,dissentmagazine.org,164770,left
306,ahtribune.com,166093,left
327,bipartisanreport.com,168196,left
214,sovereignman.com,177067,right
356,fair.org,180618,left
40,clashdaily.com,188917,right
373,joeforamerica.com,189457,right
213,vdare.com,192874,right
142,dcwhispers.com,199325,right
61,conservativefiringline.com,200719,right
29,americanupdate.com,208220,right
435,attn.com,211858,left
341,juancole.com,214106,left
44,thedailysheeple.com,215074,right
388,patriotpost.us,215230,right
100,marklevinshow.com,222317,right
236,madworldnews.com,224071,right
49,theblacksphere.net,224934,right
204,spartareport.com,225501,right
331,countercurrents.org,225681,left
2,opednews.com,228862,left
459,trofire.com,229159,left
177,humanevents.com,233446,right
112,thenewcivilrightsmovement.com,242869,left
164,nysun.com,244576,right
286,progressive.org,251902,left
135,mrc.org,256129,right
551,itsgoingdown.org,256580,left
260,billmoyers.com,262957,left
358,demos.org,265097,left
529,newsleaks.co,267310,right
105,truedaily.news,273964,right
355,hudson.org,278509,right
111,faithfamilyamerica.com,282646,right
354,michellemalkin.com,287867,right
382,tomdispatch.com,288912,left
385,thegoldwater.com,292486,right
35,nationalmemo.com,295589,left
274,comicallyincorrect.com,295996,right
216,smirkingchimp.com,304484,left
37,dennismichaellynch.com,314497,right
257,newcriterion.com,319183,right
357,downtrend.com,345862,right
108,menrec.com,347222,right
178,thedailybanter.com,364916,left
219,goppresidential.com,368365,right
199,committeetodefendthepresident.com,376170,right
10,truthandaction.org,380280,right
145,tmn.today,380911,right
375,feministing.com,389859,left
437,afr.net,392855,right
232,aim.org,396382,right
189,nationofchange.org,402711,left
131,offthewire.com,408224,right
41,foreignpolicyjournal.com,412431,right
322,rightwingnews.com,428315,right
405,fixthisnation.com,439283,right
359,democracyjournal.org,455176,left
211,americauncensored.com,455723,right
444,restoreamericanglory.com,456409,left
421,revcom.us,470456,left
102,barbwire.com,484114,right
412,newsbud.com,485891,left
6,sonsoflibertymedia.com,486529,right
89,latinorebels.com,489936,left
317,projectveritas.com,491018,right
374,patriotretort.com,497610,right
321,shadowproof.com,509969,left
166,tytnetwork.com,529746,left
157,truthrevolt.org,540546,right
541,bluedotdaily.com,562302,left
273,danaloeschradio.com,569750,right
324,michaelmoore.com,577075,left
183,conservativeintel.com,587972,right
337,tammybruce.com,595406,right
3,newshounds.us,605097,left
84,conservativehq.com,615116,right
161,patriotrising.com,628377,right
500,newobserveronline.com,669159,right
208,politicaldig.com,678174,left
307,hughhewitt.com,707366,right
476,discoverthenetworks.org,714291,right
176,addictinginfo.org,742988,left
78,americanjournalreview.com,744877,right
153,truthinmedia.com,750299,right
440,rinf.com,762264,left
197,newscorpse.com,781451,left
417,patriotnewsdaily.com,808068,right
482,c4ss.org,813672,left
25,redalertpolitics.com,819699,right
381,totalconservative.com,873833,right
402,conservativefighters.com,887618,right
94,americablog.com,892160,left
352,warisacrime.org,953681,left
408,aina.org,998033,right
531,newpol.org,1000909,left
235,occupy.com,1006939,left
132,libertyblitzkrieg.com,1030418,right
295,thepeoplesview.net,1037599,left
400,conservativepost.com,1042660,right
496,truthfeed.com,1172815,right
50,constitution.com,1180324,right
107,egbertowillies.com,1220524,left
11,eaglerising.com,1221455,right
30,ipatriot.com,1227889,right
72,powderedwigsociety.com,1238612,right
285,redflagnews.com,1259537,right
9,americasfreedomfighters.com,1263240,right
79,rickwells.us,1294288,right
195,bookwormroom.com,1317697,right
171,hangthebankers.com,1318475,right
51,politichicks.com,1363920,right
401,conservativenews.com,1467327,right
140,citizensunited.org,1509426,right
426,occupydemocrats.com,1548220,left
64,thetruthdivision.com,1572892,right
151,conservativetribune.com,1596707,right
143,thinkamericana.com,1626696,right
423,reclaimdemocracy.org,1664616,left
535,jamieglazov.com,1789959,right
253,youngcons.com,1818754,right
146,foramerica.org,1887010,right
74,angrypatriotmovement.com,1887251,right
407,conservativerevival.com,1928560,right
239,teapartytribune.com,2035913,right
351,abeldanger.net,2110563,left
441,libertytalk.fm,2132238,right
181,dcgazette.com,2147669,right
93,intrepidreport.com,2173530,right
124,westernjournalism.com,2215923,right
251,lastresistance.com,2262402,right
316,rightedition.com,2265577,right
227,usasupreme.com,2275712,right
428,gotnews.com,2309093,right
398,freedomdaily.com,2371032,right
95,therealside.com,2371269,right
77,subjectpolitics.com,2376357,right
60,heatst.com,2410955,right
364,act.tv,2470484,left
300,leftexposed.org,2532779,right
471,leftaction.com,2581270,left
22,thenewscommenter.com,2601402,right
92,bb4sp.com,2660941,right
14,proudemocrat.com,2664426,left
338,talkleft.com,2689866,left
425,other98.com,2737041,left
288,modernliberals.com,2978526,left
228,toprightnews.com,3096511,right
149,realprogressivesusa.com,3142027,left
454,usuncut.com,3199769,left
502,libertywriters.com,3472998,right
234,thenewsdoctors.com,3541578,right
57,secureamericanow.org,3555305,right
150,reverbpress.com,3567110,left
215,therepublicannews.net,3632441,right
302,freedom.news,3694774,right
268,patriotcrier.com,3754288,right
230,dcstatesman.com,3914513,right
320,sistertoldjah.com,3916052,right
121,deneenborelli.com,3964448,right
349,bluelivesmatter.blue,4016310,right
180,yesimright.com,4196047,right
169,bulletsfirst.net,4335974,right
432,conservativeworlddaily.com,4354566,right
384,theleftcoaster.com,4379268,left
275,bluenationreview.com,4382205,left
225,politicaloutcast.com,4469562,right
86,rebelpundit.com,4476452,left
45,madpatriots.com,4678786,right
163,dailysurge.com,4779454,right
201,patriotjournal.com,4899543,right
312,patriotupdate.com,4935742,right
536,groopspeak.com,5034802,left
138,girlsjustwannahaveguns.com,5220016,right
168,americannews.com,5289926,right
271,liberalamerica.org,5299423,left
54,freedomforce.com,5466029,right
294,dailypoliticalnewswire.com,5471551,right
116,stridentconservative.com,5643070,right
262,viralliberty.com,5653863,right
329,conservativebyte.com,5662616,right
391,oliverwillis.com,5761023,left
456,usadailynews24.com,5817130,right
42,realtimepolitics.com,5910818,left
269,offthemainpage.com,6122611,left
106,blackandblondemedia.com,6165377,right
411,ihavethetruth.com,6184636,right
544,allenbwest.com,6271955,right
117,usdefensewatch.com,6299481,right
328,alexanderhiggins.com,6315047,left
272,hillarydaily.com,6554083,right
318,victoriajackson.com,6737248,right
442,forwardprogressives.com,6982959,left
360,counterinformation.wordpress.com,7119262,left
533,libertywritersnews.com,7339062,right
473,greenvillegazette.com,7668608,left
326,conservative101.com,7705220,right
154,aattp.org,7804521,left
187,quinhillyer.com,8031004,right
498,resistancereport.com,8365084,left
542,bients.com,8795626,left
368,wethepeoplefree.com,8796598,right
528,patrioticfolks.com,8855173,right
265,donaldtrumpnews.co,8892783,right
501,newcenturytimes.com,8899556,left
383,thepoliticalvoice.com,8906022,left
532,lonelyconservative.com,8934692,right
503,libertynews.com,8964525,right
258,oppositionreport.com,8972549,left
410,triadconservative.com,9109716,right
167,bigamericannews.com,9323877,right
194,cynthiafarahat.com,9334644,right
284,redhotconservative.com,10026187,right
250,myrightamerica.com,10160338,right
534,learnprogress.org,10208247,left
256,blingnews.com,10272348,right
371,veteransnewsnow.com,10569067,right
366,viraldeplorables.com,10780034,right
254,rightbias.com,11256851,right
259,libertyisviral.com,11367081,right
484,blacklivesmatterexposed.com,11843972,right
193,donaldtrumpnews.net,11872922,right
185,silenceisconsent.net,12490098,right
82,topsecretleaks.com,12549062,right
420,truetrumpers.com,12657190,right
370,endingthefed.com,12719749,right
113,politicalblindspot.com,12726146,left
292,conservativevideos.com,13011511,right
339,progressiveliberal.net,13392046,left
464,politicalsitenews.com,13415005,right
128,americanconservativeherald.com,13433660,right
436,americannewsx.com,13437524,left
305,biggovernment.news,13600398,right
397,ifyouonlynews.com,13647574,left
73,abncnews.com,13760603,left
33,freedomsfinalstand.com,13796530,right
363,beingliberal.org,13817792,left
486,rednationrising.us,14092501,right
467,newsfrompolitics.com,14165333,right
376,worlddailyonline.com,14236744,right
422,regated.com,14552986,right
419,truthexaminer.com,14594621,left
155,redwhiteandright.com,14700099,right
343,defund.com,14828228,right
413,undergroundnewsreport.com,15272205,right
252,democraticreview.com,15534613,left
314,federalistpress.com,15536141,right
123,chicksontheright.com,15756311,right
87,newzeal.blogspot.com,15778611,right
499,newsninja2012.com,15965414,right
372,reagancoalition.com,16006089,right
297,rightalert.com,16049165,right
522,redrightrepublic.com,16100662,right
147,americandailypatriot.com,16148100,right
209,americauncensored.net,16220185,right
406,leftscoop.com,16358033,left
466,patdollard.com,16575518,right
550,dailyusaupdate.com,16701002,right
43,dailypresser.com,18915439,right
220,reviveusa.com,19152224,right
353,theproudliberal.org,19379935,left
28,pamelageller.com,NA,right
53,allenwestrepublic.com,NA,right
65,overpassesforamerica.com,NA,right
91,fury.news,NA,right
97,4threvolutionarywar.wordpress.com,NA,left
120,100percentfedup.com,NA,right
125,loudobbs.com,NA,right
126,21stcenturywire.com,NA,left
127,excaliburreport.com,NA,right
129,uspoliticsinfo.com,NA,right
139,bloodyrubbish.com,NA,right
156,liberalmountain.com,NA,left
159,patriot.tv,NA,right
182,shark-tank.com,NA,right
184,theimmoralminority.blogspot.ca,NA,left
186,usadailyreports.com,NA,right
188,rednationweekly.com,NA,right
192,readmeeveryday.com,NA,right
196,unhyphenatedamerica.org,NA,right
210,craigjames.com,NA,right
217,dailyherald.news,NA,right
222,usjournalreview.com,NA,right
223,redrocktribune.com,NA,right
224,politicalpool.com,NA,right
229,dieharddemocrat.com,NA,left
237,freedomfirst.news,NA,right
240,youngprogressivevoices.com,NA,left
241,uspostman.com,NA,right
242,usapoliticsnow.com,NA,right
243,usaonlinetoday.com,NA,left
244,thestarchronicle.com,NA,right
245,sgsnews.com,NA,right
246,patriotreporting.com,NA,right
247,informedowners.com,NA,right
248,visiontoamerica.com,NA,right
249,conservativeshere.com,NA,right
255,patriotoutdoornews.com,NA,right
261,occupyliberals.com,NA,left
263,americonnews.com,NA,right
264,truth-out.org,NA,left
276,theconservativerepublic.com,NA,right
279,rawprogressive.com,NA,left
280,meanlefthook.com,NA,left
291,ih8hillary.com,NA,right
293,vesselnews.io,NA,left
296,savingourfuture.com,NA,right
298,revealingpolitics.com,NA,right
299,patriottribune.com,NA,right
303,freakoutnation.com,NA,left
308,redherald.com,NA,right
309,minutemennews.com,NA,right
311,63red.com,NA,right
313,usnewz24.com,NA,right
315,usanewsflash.com,NA,right
330,viralpatriots.com,NA,right
332,rightforever.com,NA,right
333,utnews.info,NA,right
336,voices4hillary.com,NA,left
340,liberalsociety.com,NA,left
345,counterpunch.com,NA,left
347,conservativeconstitutionalists.com,NA,right
361,conservativespirit.com,NA,right
362,conservativedeplorable.com,NA,right
367,leftliberal.com,NA,left
377,winningdemocrats.com,NA,left
378,webdaily.com,NA,right
379,usapubliclife.com,NA,right
380,truthmonitor.com,NA,right
386,progressivestoday.com,NA,right
387,politicaljungle.net,NA,right
389,patriotbeacon.com,NA,right
390,onlineconservativepress.com,NA,right
393,libertyfederation.com,NA,right
394,liberalplug.com,NA,left
399,embols.com,NA,right
403,bignuggetnews.com,NA,right
404,americanfreedomblog.com,NA,right
409,usaphase.com,NA,right
414,dailynewscycle.com,NA,right
415,americanpoliticnews.com,NA,right
416,thedailydeplorables.com,NA,right
424,proud-patriots.com,NA,right
429,glennbeckunhinged.com,NA,left
430,dailyinfo.co,NA,right
431,dailygotham.com,NA,left
433,citizensfortrump.com,NA,right
434,borntoberight.com,NA,right
438,spinzon.com,NA,right
439,universepolitics.com,NA,right
443,politicalalley.com,NA,right
445,politicalillusionsexposed.com,NA,right
446,thedailynewsbox.com,NA,right
447,thinkrightpolitics.com,NA,right
448,conservativearmy88.com,NA,right
449,anotherdayintheempire.com,NA,left
450,worldnewsandrumors.space,NA,right
451,washingtonjournal.com,NA,left
452,washingtonfeed.com,NA,right
453,vanguardofliberty.org,NA,right
455,usaviralpolitics.com,NA,right
457,trumpvision365.com,NA,right
458,trumpers.online,NA,right
460,thepopulist.buzz,NA,left
461,stacyontheright.com,NA,right
462,rednecknewswire.com,NA,right
463,politicalupdater.com,NA,left
465,politicalears.com,NA,right
468,mrcblog.com,NA,right
470,libertyviral.com,NA,right
472,justicewriters.com,NA,left
474,equalvoiceforfamilies.org,NA,left
475,donaldtrumppotus45.com,NA,right
477,departed.co,NA,right
478,dailyleak.org,NA,left
479,cscmediagroupus.com,NA,right
480,cooltobeconservative.com,NA,right
483,bluetribune.com,NA,left
485,allpoliticalnews.com,NA,right
487,thenewyorkevening.com,NA,right
488,thepoliticalherald.com,NA,right
489,leftwingnation.org,NA,left
490,westsentinel.com,NA,right
491,newpoliticstoday.com,NA,right
492,goneleft.com,NA,left
493,politicspaper.com,NA,right
494,sharpelbowsstl.blogspot.ca,NA,right
495,conservativeflashnews.com,NA,right
497,resistmedia.org,NA,left
504,janmorganmedia.com,NA,right
505,blue-route.org,NA,left
506,analogpolitics.com,NA,right
507,theexaminer.site,NA,right
508,topusanewspolitics.com,NA,left
509,24usnews.com,NA,right
510,lettucetalkaboutit.com,NA,right
511,amposts.com,NA,right
512,viralhubbub.com,NA,right
513,usaworldbox.com,NA,right
514,cosmo-politics.com,NA,right
515,nutbarfactor.com,NA,right
516,usanewspolitics.com,NA,right
517,totalworldnews.com,NA,right
518,redconservativeclub.com,NA,right
519,foundingbloggers.com,NA,right
520,consamerica.com,NA,right
521,usanewsinsider.com,NA,right
523,instaworldnews.com,NA,right
524,thetrumpmedia.com,NA,right
525,redcountry.us,NA,right
526,proamericanews.com,NA,right
527,politicalinbox.com,NA,right
530,news-4.us,NA,right
537,fightingfortrump.com,NA,right
538,democratizeus.com,NA,left
539,conservativedailyreview.com,NA,right
540,buzzfeedusa.com,NA,right
543,arcmedia.org,NA,right
545,alexpoucher.com,NA,left
546,againstcronycapitalism.org,NA,left
547,usainfonews.com,NA,right
548,anews-24.com,NA,right
549,federalisttribune.com,NA,right
552,americantruepatriots.com,NA,right
553,thedailypatriots.com,NA,right
554,newsbreakshere.com,NA,right
555,nationalinsiderpolitics.com,NA,right
556,departedmedia.com,NA,right
